Date,Open,High,Low,Close,Adj Close,Volume
2009-07-30,118.000000,119.370003,117.669998,117.860001,86.538223,6803100
2009-07-31,117.559998,118.989998,117.559998,117.930000,86.589630,5329600
2009-08-03,118.879997,119.959999,118.690002,119.919998,88.050774,6108200
2009-08-04,119.169998,119.800003,119.019997,119.599998,87.815811,4993500
2009-08-05,118.519997,119.000000,117.860001,118.470001,86.986099,5025800
2009-08-06,118.309998,118.400002,116.699997,117.379997,86.587784,6003100
2009-08-07,118.110001,119.910004,118.110001,119.330002,88.026215,5763200
2009-08-10,118.169998,119.190002,117.970001,118.699997,87.561470,3981300
2009-08-11,118.029999,118.500000,117.320000,117.790001,86.890198,4844500
2009-08-12,117.599998,119.959999,117.419998,119.290001,87.996727,6289700
2009-08-13,119.279999,119.779999,118.629997,119.580002,88.210670,5489200
2009-08-14,119.290001,119.739998,117.620003,118.570000,87.465599,4796400
2009-08-17,116.690002,117.440002,116.209999,116.860001,86.204170,5349600
2009-08-18,116.809998,118.000000,116.730003,117.629997,86.772179,4286200
2009-08-19,116.360001,118.769997,116.120003,118.570000,87.465599,4837900
2009-08-20,118.440002,119.410004,118.099998,118.949997,87.745926,4841700
2009-08-21,119.650002,120.010002,118.550003,119.900002,88.446716,8306800
2009-08-24,119.919998,120.879997,119.099998,119.320000,88.018837,6363400
2009-08-25,119.250000,120.150002,118.709999,118.830002,87.657394,4652200
2009-08-26,118.639999,119.849998,117.510002,119.470001,88.129517,4515500
2009-08-27,118.730003,119.589996,117.849998,119.430000,88.099998,4356900
2009-08-28,120.099998,120.230003,117.769997,118.220001,87.207420,6235700
2009-08-31,117.099998,118.059998,116.919998,118.050003,87.081993,5439400
2009-09-01,117.669998,118.930000,116.500000,116.690002,86.078751,6303800
2009-09-02,116.339996,117.239998,116.000000,116.089996,85.636147,5178800
2009-09-03,116.550003,116.730003,115.150002,116.330002,85.813225,4936200
2009-09-04,116.580002,117.500000,116.209999,117.459999,86.646774,3451700
2009-09-08,117.940002,118.169998,116.629997,117.160004,86.425491,5797500
2009-09-09,117.029999,117.669998,116.160004,116.760002,86.130440,5248100
2009-09-10,116.989998,117.830002,116.750000,117.669998,86.801697,4889400
2009-09-11,117.800003,119.250000,117.470001,118.050003,87.081993,5893700
2009-09-14,117.000000,118.989998,116.940002,118.879997,87.694290,4758600
2009-09-15,118.779999,119.449997,118.160004,119.349998,88.040993,6536000
2009-09-16,119.500000,122.000000,119.300003,121.820000,89.863007,11236700
2009-09-17,121.139999,122.779999,121.050003,121.879997,89.907265,8392600
2009-09-18,122.449997,122.879997,121.620003,122.110001,90.076950,9935800
2009-09-21,121.029999,122.080002,120.879997,121.570000,89.678589,4515100
